Title,Release_Date,Color_BW,Genre,Language,Country,Rating,Lead_Actor,Director_Name,Lead_Actor_FB_Likes,Cast_FB_Likes,Director_FB_Likes,Movie_FB Likes,IMDb_Score,Total_Reviews,Duration_mins,Gross_Revenue_in_thousands ,Budget_in_thousands
Heaven's Gate,2/10/1980,Color,Adventure,English,USA,R,Jeff Bridges,Michael Cimino,12000,14255,517,1000,6.8,102,325,1500,44000
Ordinary People,2/21/1980,Color,Drama,English,USA,R,Adam Baldwin,Robert Redford,2000,5122,0,0,7.8,62,124,54800,6000
Private Benjamin,7/10/1980,Color,Comedy,English,USA,R,Eileen Brennan,Howard Zieff,1000,2419,6,855,6.1,25,109,69800,10000
Raging Bull,7/28/1980,Black and White,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000,23008,17000,0,8.3,151,121,45.25,18000
Raise the Titanic,9/16/1980,Color,Action,English,UK,PG,M. Emmet Walsh,Jerry Jameson,521,1883,5,328,4.7,32,119,7000,36000
Star Wars: Episode V - The Empire Strikes Back,4/20/1980,Color,Action,English,USA,PG,Harrison Ford,Irvin Kershner,11000,12643,883,17000,8.8,223,127,290158.751,18000
Superman II,10/13/1980,Color,Action,English,USA,PG,Margot Kidder,Richard Lester,593,2908,44,0,6.8,121,116,108200,54000
The Blues Brothers,8/17/1980,Color,Action,English,USA,R,John Belushi,John Landis,1000,2566,644,14000,7.9,125,148,54200,27000
The Fog,8/9/1980,Color,Fantasy,English,USA,R,Jamie Lee Curtis,John Carpenter,2000,4877,0,7000,6.8,212,89,21378,1000
Chariots of Fire,8/7/1981,Color,Biography,English,UK,PG,Alice Krige,Hugh Hudson,368,1651,46,0,7.2,90,125,58800,5500
Das Boot,7/3/1981,Color,Adventure,German,West Germany,R,Jürgen Prochnow,Wolfgang Petersen,362,469,249,11000,8.4,96,293,11433.134,14000
Dragonslayer,4/29/1981,Color,Action,English,USA,PG,Ian McDiarmid,Matthew Robbins,1000,1263,25,0,6.7,60,108,6000,18000
Escape from New York,9/28/1981,Color,Action,English,UK,R,Donald Pleasence,John Carpenter,742,2270,0,0,7.2,201,106,25244.7,6000
For Your Eyes Only,3/18/1981,Color,Action,English,UK,PG,Julian Glover,John Glen,844,2118,46,2000,6.8,112,127,62300,28000
Friday the 13th Part 2,1/9/1981,Color,Horror,English,USA,R,Betsy Palmer,Steve Miner,309,707,49,0,6.1,242,87,19100,1250
Mad Max 2: The Road Warrior,9/11/1981,Black and White,Action,English,Australia,R,Vernon Wells,George Miller,745,1396,750,0,7.6,177,87,9003.011,2000
Porky's,7/7/1981,Color,Comedy,English,Canada,R,Art Hindle,Bob Clark,110,582,84,0,6.2,75,94,105500,4000
Raiders of the Lost Ark,5/16/1981,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000,12906,14000,16000,8.5,234,115,242374.454,18000
Roar,8/10/1981,Color,Adventure,English,USA,PG,Tippi Hedren,Noel Marshall,634,1262,4,0,6.4,50,102,2000,17000
Sphinx,5/13/1981,Color,Adventure,English,USA,PG,Frank Langella,Franklin J. Schaffner,902,2079,76,106,5.2,2,118,800,14000
Stripes,11/9/1981,Color,Action,English,USA,R,Bill Murray,Ivan Reitman,13000,27378,425,0,6.9,52,117,85300,10000
The Beyond,12/7/1981,Black and White,Horror,Italian,Italy,X,Catriona MacColl,Lucio Fulci,48,123,385,2000,6.9,203,82,126.387,400
The Howling,6/15/1981,Color,Horror,English,USA,R,Patrick Macnee,Joe Dante,1000,4438,287,0,6.6,161,91,17986,1000
The Legend of the Lone Ranger,1/28/1981,Color,Action,English,USA,PG,Jason Robards,William A. Fraker,372,927,28,346,5,25,98,8000,18000
Time Bandits,4/4/1981,Color,Adventure,English,UK,PG,Shelley Duvall,Terry Gilliam,629,2730,0,0,7,139,103,42365.6,5000
Under the Rainbow,7/9/1981,Color,Comedy,English,USA,PG,Mako,Steve Rash,691,1761,15,501,5.4,13,98,8500,20000
Blade Runner,12/9/1982,Color,Sci-Fi,English,USA,R,Harrison Ford,Ridley Scott,11000,13877,0,34000,8.2,302,117,27000,28000
Conan the Barbarian,8/12/1982,Color,Adventure,English,USA,R,William Smith,John Milius,919,2024,468,0,6.9,166,129,37567.44,20000
Diner,4/27/1982,Color,Comedy,English,USA,R,Steve Guttenberg,Barry Levinson,801,2943,272,0,7.2,42,110,14100,5000
E.T. the Extra-Terrestrial,10/24/1982,Color,Family,English,USA,PG,Henry Thomas,Steven Spielberg,861,2811,14000,34000,7.9,215,120,434949.459,10500
Firefox,7/7/1982,Color,Action,English,USA,PG,Clint Eastwood,Clint Eastwood,16000,16805,16000,0,5.9,43,136,46700,21000
Friday the 13th Part III,1/23/1982,Color,Horror,English,USA,R,Richard Brooker,Steve Miner,72,174,49,0,5.7,235,91,36200,4000
Halloween III: Season of the Witch,6/30/1982,Color,Horror,English,USA,R,Tom Atkins,Tommy Lee Wallace,381,684,24,0,4.6,162,98,14400,2500
Megaforce,3/2/1982,Color,Action,English,USA,PG,Barry Bostwick,Hal Needham,456,1356,379,0,3.5,40,99,5333.658,20000
Poltergeist,7/16/1982,Color,Fantasy,English,USA,PG,Heather O'Rourke,Tobe Hooper,887,3876,365,11000,7.4,223,120,76600,10700
Star Trek II: The Wrath of Khan,12/5/1982,Color,Action,English,USA,PG,Leonard Nimoy,Nicholas Meyer,12000,16539,120,0,7.7,148,116,78900,11000
The Best Little Whorehouse in Texas,12/2/1982,Color,Comedy,English,USA,R,Dolly Parton,Colin Higgins,1000,3688,19,0,5.8,11,114,69700,35000
The Thing,2/24/1982,Color,Horror,English,USA,R,Wilford Brimley,John Carpenter,957,1757,0,23000,8.2,297,109,13782.838,15000
The Verdict,2/11/1982,Color,Drama,English,USA,R,Charlotte Rampling,Sidney Lumet,844,2330,0,0,7.8,79,129,54000,16000
Tootsie,10/19/1982,Color,Comedy,English,USA,PG,Bill Murray,Sydney Pollack,13000,14701,521,0,7.4,94,116,177200,22000
Flashdance,1/1/1983,Color,Drama,English,USA,R,Michael Nouri,Adrian Lyne,225,791,213,0,6.1,51,95,94900,4000
Lone Wolf McQuade,7/20/1983,Color,Action,English,USA,PG,David Carradine,Steve Carver,926,2383,8,0,6.3,29,107,12200,5000
National Lampoon's Vacation,6/27/1983,Color,Adventure,English,USA,R,Beverly D'Angelo,Harold Ramis,816,3617,11000,0,7.4,55,98,61400,15000
Never Say Never Again,4/23/1983,Color,Action,English,UK,PG,Bernie Casey,Irvin Kershner,180,762,883,0,6.2,89,121,55500,36000
Octopussy,1/19/1983,Color,Action,English,UK,PG,Louis Jourdan,John Glen,594,1898,46,0,6.6,106,131,67900,27500
Scarface,3/5/1983,Color,Crime,English,USA,R,Al Pacino,Brian De Palma,14000,16464,0,19000,8.3,147,142,44700,25000
Star Wars: Episode VI - Return of the Jedi,12/24/1983,Color,Action,English,USA,PG,Harrison Ford,Richard Marquand,11000,13649,37,14000,8.4,197,134,309125.409,32500
Superman III,8/18/1983,Color,Action,English,UK,PG,Margot Kidder,Richard Lester,593,2329,44,0,4.9,95,125,60000,39000
The Outsiders,2/21/1983,Color,Crime,English,USA,PG-13,Tom Cruise,Francis Ford Coppola,10000,12097,0,10000,7.2,60,114,25600,10000
The Right Stuff,3/23/1983,Color,Adventure,English,USA,PG,Dennis Quaid,Philip Kaufman,2000,6341,133,0,7.9,80,193,21500,27000
Twilight Zone: The Movie,1/12/1983,Color,Fantasy,English,USA,PG,Albert Brooks,Joe Dante,745,1954,287,0,6.5,78,101,29500,10000
WarGames,6/28/1983,Color,Sci-Fi,English,USA,PG,Matthew Broderick,John Badham,2000,4537,139,0,7.1,84,114,79568,12000
Yentl,10/30/1983,Color,Drama,English,UK,PG,Miriam Margolyes,Barbra Streisand,405,914,0,0,6.6,16,132,30400,12000
A Nightmare on Elm Street,4/13/1984,Color,Horror,English,USA,X,Johnny Depp,Wes Craven,40000,42918,0,10000,7.5,256,101,26505,1800
A Passage to India,12/24/1984,Color,Adventure,English,UK,PG,Richard Wilson,David Lean,358,1334,767,845,7.4,52,164,26400,16000
Amadeus,2/19/1984,Color,Biography,English,USA,R,Jeffrey Jones,Milos Forman,692,3076,869,16000,8.3,134,180,51600,18000
Beverly Hills Cop,2/4/1984,Color,Action,English,USA,R,Judge Reinhold,Martin Brest,901,3464,102,0,7.3,94,105,234760.5,14000
Conan the Destroyer,6/14/1984,Color,Action,English,USA,PG,Mako,Richard Fleischer,691,2481,130,2000,5.8,77,103,26400,18000
Dune,9/10/1984,Color,Action,English,USA,PG-13,Virginia Madsen,David Lynch,913,2449,0,11000,6.6,144,177,27400,40000
Firestarter,9/20/1984,Color,Action,English,USA,R,Heather Locklear,Mark L. Lester,695,3444,73,0,6,45,114,15100,15000
Footloose,4/6/1984,Color,Drama,English,USA,PG,Dianne Wiest,Herbert Ross,967,1962,71,0,6.5,60,107,80000,8200
Friday the 13th: The Final Chapter,2/21/1984,Color,Horror,English,USA,R,Judie Aronson,Joseph Zito,158,467,17,0,5.9,166,97,32600,1800
Gremlins,10/25/1984,Color,Comedy,English,USA,PG,Phoebe Cates,Joe Dante,767,2053,287,14000,7.2,183,106,148170,11000
Indiana Jones and the Temple of Doom,10/30/1984,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000,11898,14000,0,7.6,148,118,179870.271,28000
Once Upon a Time in America,9/23/1984,Color,Crime,English,Italy,R,Robert De Niro,Sergio Leone,22000,24719,0,12000,8.4,111,251,5300,30000
Police Academy,4/5/1984,Color,Comedy,English,USA,R,Steve Guttenberg,Hugh Wilson,801,3113,37,0,6.7,45,96,81200,4500
Splash,10/8/1984,Color,Comedy,English,USA,PG,Tom Hanks,Ron Howard,15000,15361,2000,0,6.2,43,111,69800,8000
Star Trek III: The Search for Spock,10/12/1984,Color,Action,English,USA,PG,Leonard Nimoy,Leonard Nimoy,12000,14762,12000,0,6.6,110,105,76400,17000
The Bounty,2/18/1984,Color,Action,English,UK,PG,Liam Neeson,Roger Donaldson,14000,28094,79,1000,7,29,132,8600,25000
The Cotton Club,11/20/1984,Color,Crime,English,USA,R,Nicolas Cage,Francis Ford Coppola,12000,18793,0,828,6.5,36,123,25900,58000
The Hotel New Hampshire,10/5/1984,Color,Comedy,English,UK,R,Joely Richardson,Tony Richardson,584,2024,62,345,6,9,109,5100,7500
The Karate Kid,10/17/1984,Color,Action,English,USA,PG,Martin Kove,John G. Avildsen,668,2004,80,0,7.2,81,126,90800,8000
The Terminator,9/7/1984,Color,Action,English,UK,R,Michael Biehn,James Cameron,2000,3582,0,13000,8.1,204,107,38400,6500
A Nightmare on Elm Street 2: Freddy's Revenge,3/28/1985,Color,Fantasy,English,USA,R,Clu Gulager,Jack Sholder,426,1472,28,0,5.4,138,87,30000,2200
A Room with a View,11/16/1985,Color,Drama,English,UK,Unrated,Julian Sands,James Ivory,687,1665,133,0,7.4,55,117,20966.644,3000
A View to a Kill,4/6/1985,Color,Action,English,UK,PG,Patrick Macnee,John Glen,1000,2943,46,0,6.3,108,131,50300,30000
Back to the Future,12/5/1985,Color,Adventure,English,USA,PG,Lea Thompson,Robert Zemeckis,1000,3230,0,39000,8.5,198,116,210609.762,19000
Brazil,2/17/1985,Color,Drama,English,UK,R,Robert De Niro,Terry Gilliam,22000,29475,0,16000,8,230,142,9929,15000
Friday the 13th: A New Beginning,7/24/1985,Color,Horror,English,USA,R,Tiffany Helm,Danny Steinmann,42,170,13,1000,4.7,160,92,21300,2200
Mad Max Beyond Thunderdome,11/4/1985,Color,Action,English,Australia,PG-13,Tina Turner,George Miller,794,1529,750,0,6.2,117,107,36200,12305.523
Out of Africa,11/28/1985,Color,Biography,English,USA,PG,Meryl Streep,Sydney Pollack,11000,12518,521,0,7.2,66,161,87100,31000
Pale Rider,1/22/1985,Color,Western,English,USA,R,Clint Eastwood,Clint Eastwood,16000,17209,16000,0,7.3,38,115,41400,6900
Rambo: First Blood Part II,12/6/1985,Color,Action,English,USA,R,Sylvester Stallone,George P. Cosmatos,13000,15662,170,0,6.4,96,96,150415.432,44000
Silverado,12/18/1985,Color,Action,English,USA,PG-13,Scott Glenn,Lawrence Kasdan,826,1154,759,0,7.2,46,133,33200,26000
The Color Purple,7/14/1985,Color,Drama,English,USA,PG-13,Oprah Winfrey,Steven Spielberg,852,2592,14000,6000,7.8,70,154,94175.854,15000
The Last Dragon,7/26/1985,Color,Action,English,USA,PG-13,Mike Starr,Michael Schultz,854,3394,78,0,6.9,55,109,33000,10000
Witness,1/22/1985,Color,Crime,English,USA,R,Harrison Ford,Peter Weir,11000,22479,608,0,7.4,83,112,65500,12000
Young Sherlock Holmes,5/18/1985,Color,Adventure,English,USA,PG-13,Nicholas Rowe,Barry Levinson,155,605,272,0,6.8,64,109,4250.32,18000
9½ Weeks,3/18/1986,Color,Drama,English,USA,R,David Margulies,Adrian Lyne,567,711,213,0,5.9,38,112,6734.844,17000
Aliens,7/26/1986,Color,Action,English,USA,R,Michael Biehn,James Cameron,2000,4228,0,18000,8.4,250,154,85200,18500
April Fool's Day,9/7/1986,Color,Horror,English,USA,R,Thomas F. Wilson,Fred Walton,690,1160,17,0,6.2,96,89,12947.763,5000
Big Trouble in Little China,5/27/1986,Color,Action,English,USA,PG-13,Victor Wong,John Carpenter,400,896,0,19000,7.3,180,99,11100,25000
Crocodile Dundee,10/11/1986,Color,Adventure,English,Australia,PG-13,Paul Hogan,Peter Faiman,442,822,4,0,6.5,35,93,174635,8800
